angle (TWA),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
101,0.0,2.0,3.0,3.9,4.8,5.6,6.1,6.6,6.9,7.1,7.3,7.5,7.7,7.9,8.0,8.2,8.3,8.5,8.6,8.8
102,0.0,2.0,2.9,3.9,4.8,5.6,6.1,6.6,6.9,7.1,7.3,7.5,7.7,7.9,8.1,8.2,8.4,8.5,8.7,8.8
103,0.0,2.0,2.9,3.9,4.8,5.6,6.1,6.6,6.9,7.1,7.3,7.5,7.7,7.9,8.1,8.2,8.4,8.5,8.7,8.9
104,0.0,2.0,2.9,3.9,4.8,5.6,6.1,6.6,6.9,7.1,7.3,7.5,7.7,7.9,8.1,8.3,8.4,8.6,8.7,8.9
105,0.0,2.0,2.9,3.9,4.8,5.6,6.1,6.6,6.9,7.1,7.3,7.5,7.7,7.9,8.1,8.3,8.4,8.6,8.7,8.9
106,0.0,2.0,2.9,3.9,4.8,5.6,6.1,6.5,6.9,7.1,7.3,7.5,7.7,8.0,8.1,8.3,8.5,8.6,8.8,8.9
107,0.0,2.0,2.9,3.9,4.8,5.6,6.1,6.5,6.9,7.1,7.3,7.5,7.8,8.0,8.1,8.3,8.5,8.6,8.8,9.0
108,0.0,2.0,2.9,3.9,4.8,5.6,6.1,6.5,6.9,7.1,7.3,7.6,7.8,8.0,8.2,8.4,8.5,8.7,8.8,9.0
109,0.0,1.9,2.9,3.9,4.8,5.5,6.1,6.5,6.8,7.1,7.3,7.6,7.8,8.0,8.2,8.4,8.5,8.7,8.8,9.0
110,0.0,1.9,2.9,3.9,4.7,5.5,6.1,6.5,6.8,7.1,7.3,7.6,7.8,8.0,8.2,8.4,8.6,8.7,8.9,9.0
111,0.0,1.9,2.9,3.9,4.7,5.5,6.1,6.5,6.8,7.1,7.3,7.6,7.8,8.0,8.2,8.4,8.6,8.7,8.9,9.1
112,0.0,1.9,2.9,3.8,4.7,5.5,6.1,6.5,6.8,7.1,7.3,7.5,7.8,8.0,8.2,8.4,8.6,8.7,8.9,9.1
113,0.0,1.9,2.9,3.8,4.7,5.5,6.0,6.5,6.8,7.1,7.3,7.5,7.7,8.0,8.2,8.4,8.6,8.8,8.9,9.1
114,0.0,1.9,2.9,3.8,4.7,5.5,6.0,6.5,6.8,7.1,7.3,7.5,7.7,7.9,8.2,8.4,8.6,8.8,9.0,9.2
115,0.0,1.9,2.9,3.8,4.7,5.4,6.0,6.4,6.8,7.0,7.3,7.5,7.7,7.9,8.1,8.4,8.6,8.8,9.0,9.2
116,0.0,1.9,2.8,3.8,4.6,5.4,6.0,6.4,6.8,7.0,7.3,7.5,7.7,7.9,8.1,8.4,8.6,8.8,9.0,9.2
117,0.0,1.9,2.8,3.8,4.6,5.4,6.0,6.4,6.7,7.0,7.2,7.5,7.7,7.9,8.1,8.3,8.6,8.8,9.0,9.2
118,0.0,1.9,2.8,3.7,4.6,5.4,5.9,6.4,6.7,7.0,7.2,7.4,7.7,7.9,8.1,8.3,8.6,8.8,9.0,9.3
119,0.0,1.9,2.8,3.7,4.6,5.3,5.9,6.4,6.7,7.0,7.2,7.4,7.7,7.9,8.1,8.3,8.6,8.8,9.1,9.3
120,0.0,1.9,2.8,3.7,4.6,5.3,5.9,6.3,6.7,7.0,7.2,7.4,7.6,7.9,8.1,8.3,8.6,8.8,9.1,9.3
121,0.0,1.9,2.8,3.7,4.5,5.3,5.9,6.3,6.7,6.9,7.2,7.4,7.6,7.8,8.1,8.3,8.6,8.8,9.1,9.3
122,0.0,1.8,2.8,3.7,4.5,5.3,5.8,6.3,6.6,6.9,7.1,7.4,7.6,7.8,8.1,8.3,8.5,8.8,9.0,9.3
123,0.0,1.8,2.7,3.6,4.5,5.2,5.8,6.3,6.6,6.9,7.1,7.3,7.6,7.8,8.0,8.3,8.5,8.8,9.0,9.3
124,0.0,1.8,2.7,3.6,4.4,5.2,5.8,6.2,6.6,6.9,7.1,7.3,7.5,7.8,8.0,8.3,8.5,8.8,9.0,9.2
